S.No. ,Name of Company ,Category,RTE/ RTC ,F &V ,Marine ,Mozzerrella Cheese ,Innovative ,Organic ,B&M ,Prowess Code,CIN,NIC Code,Year of Incorporation,CMIE Footprint,Name Matching,Comments,Data Issues,Requirement of Segment Wise Analysis
1,A Innovative Food Products LLP,Category 3, , , , , , ,B&M,,AAF-2541,,,No,Exact Match,,,
2,Aachi Masalafoods Pvt. Ltd.,Category 1, ,F&V, , , , ,B&M,432664,U15495TN2006PTC060397,15495,2006,Yes,See comments,"There is no company named ""Aachi Masalafoods Pvt. Ltd."". There is only one company named ""Aachi Masala Foods Pvt. Ltd."". There are other less close names like Aachi Consumer Foods, Aachi Spices and Foods etc. ","Segment Wise reports not available. They produce beauty and hygeine, cleaning and household.",
3,Aadvik Foods And Products Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15412RJ2016PTC054973,15412,2016,No,Exact Match,,,
4,Achal Cashews Pvt. Ltd.,Category 2, , , , , ,Organic, ,,U01131KA1982PTC004752,1131,1982,No,Exact Match,,,
5,ADF Foods Ltd.,Category 3, , , , , , ,B&M,783,L15400GJ1990PLC014265,15400,1990,Yes,Exact Match,,,No
6,AFP Manufacturing Co. Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15412DL1999PTC098974,15412,1999,No,Exact Match,,,
7,Akay Natural Ingredients Pvt. Ltd.,Category 2, , , , ,Innovative, , ,,U15400KL2010PTC025510,15400,2010,No,Exact Match,"They are registered as a chemical manufacturing company but they deal in spices, natural food colouring etc.",,
8,Almond House Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15117TG2018PTC123128,15117,2018,No,Exact Match,,,
9,Anmol Industries Ltd.,Category 1,RTE/RTC, , , , , ,B&M,414638,U15412WB2009PLC139597,15412,2009,Yes,See comments,,,No
10,Asandas And Sons Pvt. Ltd.,Category 1, ,F&V, , , , ,B&M,,U15135GJ2018PTC105538,15135,2018,No,Exact Match,,,
11,Asvini Fisheries Pvt. Ltd.,Category 1, , ,Marine, , , , ,23774,U05001TN1986PTC012803,5001,1986,Yes,Exact Match,,,No
12,Austin Foods And Beverages Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15132GJ2013PTC074638,15132,2013,No,Exact Match,,,
13,Avanti Frozen Foods Pvt. Ltd.,Category 1, , ,Marine, , , , ,524469,U05000AP2015PTC096509,5000,2015,Yes,Exact Match,,,No
14,Balaji Wafers Pvt. Ltd.,Category 1,RTE/RTC, , , , , , ,29450,U15400GJ1995PTC027555,15400,1995,Yes,Exact Match,,,No
15,Bergwerff Organic India Pvt. Ltd.,Category 2, , , , , ,Organic, ,,U74999MH2005PTC290055,74999,2005,No,Exact Match,Other business activity,,
16,Bikaji Foods International Ltd.,Category 1,RTE/RTC, , , , , ,B&M,328203,L15499RJ1995PLC010856,15499,1995,Yes,Exact Match,,,No
17,Bikanervala Foods Pvt. Ltd.,Category 1,RTE/RTC, , , , , ,B&M,399570,U74899DL1988PTC033644,74899,1988,Yes,Exact Match,Other business activity,,No
18,Brahmins Foods India Pvt. Ltd.,Category 3, , , , , , ,B&M,429926,U15135KL2010PTC025559,15135,2010,Yes,Exact Match,,,No
19,Britannia Industries Ltd.,Category 1,RTE/RTC, , , , , , ,38924,L15412WB1918PLC002964,15412,1918,Yes,Exact Match,,,No
20,Candor Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,,U51101MH2013PTC246275,51101,2013,No,Exact Match,Wholesale traders,,
21,Choice Trading Corporation Pvt. Ltd.,Category 1, , ,Marine, , , ,B&M,314421,U70101TN1990PTC100520,70101,1990,Yes,Exact Match,Real Estate Activities. They have the Tastee Choice Brand.,,Yes
22,Coral Exports,Category 3, , , , , , ,B&M,,U05001TN1990PTC019497,5001,1990,No,Exact Match,Company has been striked off.,,
23,Dabur India Ltd.,Category 1, ,F&V, , , , , ,54885,L24230DL1975PLC007908,24230,1975,Yes,See comments,,Clarified butter is not subsidised but included in the segment,Yes
24,Desai Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15400PN2009PTC133749,15400,2009,No,Exact Match,,,
25,Devi Fisheries Ltd.,Category 1, , ,Marine, , , , ,281526,U05005AP1997PLC027100,5005,1997,Yes,Exact Match,,,No
26,Devi Sea Foods Ltd.,Category 1, , ,Marine, , , ,B&M,59173,U15122AP1992PLC094924,15122,1992,Yes,See comments,"There are two compaies with the same name, but the one that is taken here has NIC code for fish, meat processing etc., the other one has listed business in food processing sector only i.e. manufacture of other food products. Two companies cannot have the same name as per Rule 7 of Companies Act",,No
27,Dhariwal Foods (Unit of R M Dhariwal HUF),Category 3, , , , , , ,B&M,,U15203PN2009PTC133337,15203,2009,No,Exact Match,,,
28,Drums Food International Pvt. Ltd.,Category 2, , , , ,Innovative, , ,,U15122MH2007PTC175738,15122,2007,No,Exact Match,,,
29,DS Spiceco Pvt. Ltd.,Category 1, ,F&V, , , , , ,,U15122DL2013PTC254373,15122,2013,No,Exact Match,,,
30,Elite Green Pvt. Ltd.,Category 3, , , , , , ,B&M,,U01111GJ2008PTC054027,1111,2008,No,Exact Match,,,
31,Everest Food Products Pvt. Ltd.,Category 1, ,F&V, , , , ,B&M,,U15100MH2020PTC339738,15100,2020,No,Exact Match,,,
32,Exotic Fruits Pvt. Ltd.,Category 1, ,F&V, , , , , ,345697,U85110PN1999PTC157050,85110,1999,Yes,Exact Match,,,No
33,Falcon Marine Exports Ltd.,Category 1, , ,Marine, , , , ,72030,U15124OR1986PLC001701,15124,1986,Yes,Exact Match,,,Yes
34,Fazlani Exports Pvt. Ltd.,Category 2, , , , , ,Organic,B&M,,U51909MH2003PTC140851,51909,2003,No,Exact Match,Wholesale traders,,
35,Fieldfresh Foods Pvt. Ltd.,Category 1, ,F&V, , , , , ,357699,U15133HR2004PTC041215,15133,2004,Yes,See comments,Fieldfresh is the old name of Del Monte,,No
36,Foods And Inns Ltd.,Category 1, ,F&V, , , , ,B&M,74341,L55200MH1967PLC013837,55200,1967,Yes,Exact Match,Restraunts bars and canteens,,No
37,Fratelli Wines Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15511DL2007PTC168258,15511,2007,No,Exact Match,,,
38,G.D. Foods Manufacturing (India) Pvt. Ltd.,Category 3, , , , , , ,B&M,535576,U74899DL1997PTC089673,74899,1997,Yes,Exact Match,Other business activity,"They only produce coffee mixes, so it appears that coffee mixes are included in the scheme",
39,Gadre Marine Export Pvt. Ltd.,Category 1, , ,Marine, , , ,B&M,77643,U51223PN1994PTC078366,51223,1994,Yes,Exact Match,Wholesale traders,,Yes
40,Ganesh Grains Ltd.,Category 3, , , , , , ,B&M,78632,U15311WB2000PLC091315,15311,2000,Yes,Exact Match,,,
41,Ghanta Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15490TG1981PTC003053,15490,1981,No,Exact Match,,,
42,Gopal Snacks Pvt. Ltd.,Category 3, , , , , , ,B&M,412872,U15400GJ2009PTC058781,15400,2009,Yes,Exact Match,,,
43,GRB Dairy Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,336084,U15201TZ2001PTC009698,15201,2001,Yes,Exact Match,,,
44,Gujarat Co-Operative Milk Marketing Federation Ltd.,Category 1,RTE/RTC,F&V, ,Mozzerrella Cheese, , ,B&M,,,,,No,Exact Match,Data available on website,,
45,Gujarat Tea Processors And Packers Ltd.,Category 3, , , , , , ,B&M,86945,U01132GJ1980PLC003946,1132,1980,Yes,Exact Match,,,
46,Haldiram Bhujiawala Ltd.,Category 3, , , , , , ,B&M,325523,U51909WB1992PLC056716,51909,1992,Yes,Exact Match,Wholesale traders,,
47,Haldiram Foods International Pvt. Limted,Category 1,RTE/RTC, , , , , ,B&M,348998,U15100MH1987PTC045509,15100,1987,Yes,Exact Match,,Potato chips are not included in the incentives,No
48,Haldiram Snacks Pvt. Ltd.,Category 1,RTE/RTC, , , , , ,B&M,89485,U74899DL1989PTC037732,74899,1989,Yes,Exact Match,Other business activity,Potato chips are not included in the incentives,No
49,Hatsun Agro Product Ltd.,Category 3, , , , , , ,B&M,91480,L15499TN1986PLC012747,15499,1986,Yes,Exact Match,,,
50,Hindustan Unilever Ltd.,Category 1,RTE/RTC,F&V, , , , , ,94080,L15140MH1933PLC002030,15140,1933,Yes,Exact Match,,Includes tea/coffee,Yes
51,HRPL Restaurants Pvt. Ltd.,Category 3, , , , , , ,B&M,,U55100GJ2015PTC082665,55100,2015,No,Exact Match,Hotels,,
52,HSM Foods International Pvt. Ltd.,Category 3, , , , , , ,B&M,565460,U15400GJ2015PTC083635,15400,2015,Yes,Exact Match,,,
53,Indapur Dairy And Milk Products Ltd.,Category 1, , , ,Mozzerrella Cheese, , , ,398277,U15204PN2001PLC016485,15204,2001,Yes,Exact Match,,Incentive is only for Mozarella cheese for which segment data is not available. ,
54,Indira Food Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15122KA2013PTC070063,15122,2013,No,Exact Match,,,
55,Intergrow Brands Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15500KL2013PTC035116,15500,2013,No,Exact Match,,,
56,Iscon Balaji Foods Pvt. Ltd.,Category 1, ,F&V, , , , , ,488714,U15400GJ2012PTC068764,15400,2012,Yes,Exact Match,,,No
57,ITC Ltd.,Category 1,RTE/RTC,F&V,Marine, , , ,B&M,97066,L16005WB1910PLC001985,16005,1910,Yes,Exact Match,"CIN indicates business as tobacco manufacturing but ITC has diversified into FMCG and food processing. It has brands like Sunfeast, Yippe etc.","FMCG-Other includes food products as well as personal care, home care products",
58,Jude Foods India Pvt. Ltd.,Category 3, , , , , , ,B&M,,U51229KL2003PTC016453,51229,2003,No,Exact Match,Wholesale traders,,
59,Kancor Ingredients Ltd.,Category 1, ,F&V, , , , , ,115914,U51909MH1990PTC240460,51909,1990,Yes,See comments,"Name of co. is ""Mane Kancor Ingredients""- only closely matching name and ;Wholesale traders",They manufacture personal care products including perfumes but the balance sheet does not segment them.,
60,Keventer Agro Ltd.,Category 1, ,F&V, , , , , ,119601,U15419WB1986PLC040729,15419,1986,Yes,Exact Match,,Milk is not seperately segmented but it is not supported under pli,Yes
61,KLA Foods (India) Ltd.,Category 3, , , , , , ,B&M,372130,U15412DL2006PLC171118,15412,2006,Yes,Exact Match,,,
62,KRBL Ltd.,Category 3, , , , , , ,B&M,112888,L01111DL1993PLC052845,1111,1993,Yes,Exact Match,,,
63,LT Foods Ltd.,Category 3, , , , , , ,B&M,125758,L74899DL1990PLC041790,74899,1990,Yes,Exact Match,Other business activity,,
64,Manjilas Food Tech Pvt. Ltd.,Category 3, , , , , , ,B&M,138942,U15499KL1999PTC013100,15499,1999,Yes,Exact Match,,,
65,Marico Ltd.,Category 3, , , , , , ,B&M,140097,L15140MH1988PLC049208,15140,1988,Yes,Exact Match,,,
66,Megaa Moda Pvt. Ltd.,Category 3, , , , , , ,B&M,,U51101WB2009PTC133139,51101,2009,No,Exact Match,Wholesale traders,,
67,Mehrotra Consumer Products Pvt. Ltd.,Category 2, , , , , ,Organic,B&M,,U15122UP2012PTC049728,15122,2012,No,Exact Match,,,
68,Minocha Industries,Category 2, , , , , ,Organic, ,,#N/A,#N/A,#N/A,No,See comments,This the Minchy Brand partnership firm.,,
69,Moon Beverages Ltd.,Category 1, ,F&V, , , , , ,149122,U15549UP1987PLC173892,15549,1987,Yes,Exact Match,,They are the manufacturers for Coca Cola in India for all its products including water which is not under PLI. Only packaging investment and sales will show u in their books,No
70,MTR Foods Pvt. Ltd.,Category 1, ,F&V, , , , , ,133154,U15136KA1996PTC021007,15136,1996,Yes,Exact Match,,,No
71,National Foods,Category 3, , , , , , ,B&M,,#N/A,#N/A,#N/A,No,See comments,We do not know whether this a company or a partnership so it cannot be identifed.,,
72,Nekkanti Sea Foods Ltd.,Category 1, , ,Marine, , , ,B&M,157429,U05005AP1983PLC004128,5005,1983,Yes,Exact Match,,,No
73,Nestle India Ltd.,Category 1, ,F&V, , , , , ,157827,L15202DL1959PLC003786,15202,1959,Yes,Exact Match,,"Nestle sells tea and coffee which are not under PLI, and segment wise data is not available",Yes
74,Nilons Enterprises Pvt. Ltd.,Category 1, ,F&V, , , , , ,,U74999PN1977PTC139541,74999,1977,No,Exact Match,Exact name match is this company but its NIC code indicates that it is in the real estate segment,,
75,NTM Vegiorganic Products Pvt. Ltd.,Category 3, , , , , , ,B&M,,U01400GA2018PTC013541,1400,2018,No,Exact Match,,,
76,Om Oil & Flour Mills Ltd.,Category 1, ,F&V, , , , ,B&M,163543,U15495OR1997PLC004861,15495,1997,Yes,Exact Match,,Tea Sellers,No
77,Organic India Pvt. Ltd.,Category 2, , , , , ,Organic,B&M,362711,U74130DL1997PTC326085,74130,1997,Yes,Exact Match,Market Research and public opinion polling. But I have confirmed that the copany manufactures organic food products from the website and uploaded financial statements.,,
78,Pagariya Food Products Pvt. Ltd.,Category 3, , , , , , ,B&M,533523,U15300KA2009PTC051190,15300,2009,Yes,Exact Match,,,
79,Parag Milk Foods Ltd.,Category 1, , , ,Mozzerrella Cheese, , ,B&M,384085,L15204PN1992PLC070209,15204,1992,Yes,Exact Match,,Incentive is only for Mozarella cheese for which segment data is not available. ,
80,Parle Agro Pvt. Ltd.,Category 1, ,F&V, , , , ,B&M,171497,U15130MH1985PTC038459,15130,1985,Yes,Exact Match,,Water,Yes
81,Parle Biscuits Pvt. Ltd.,Category 1,RTE/RTC, , , , , , ,171498,U15412MH1974PTC017797,15412,1974,Yes,Exact Match,,,No
82,Parvata Foods Pvt. Ltd.,Category 2, , , , , ,Organic, ,,U15122WB2013PTC198715,15122,2013,No,Exact Match,,,
83,Patidar Exports Pvt. Ltd.,Category 3, , , , , , ,B&M,,U51900GJ2011PTC066658,51900,2011,No,Exact Match,Wholesale traders,,
84,Phalada Agro Research Fondations Pvt. Ltd.,Category 2, , , , , ,Organic, ,,U24219KA1999PTC025319,24219,1999,No,Exact Match,"They supply spices, herbs, coconut coffee etc.",,
85,Plant Lipids Pvt. Ltd.,Category 1, ,F&V, , , , , ,176208,U15495KL1979PTC003044,15495,1979,Yes,Exact Match,,"They manufacture a lot of things that are not covered under the scheme - fragrances, food colour etc for which there is no segmentation in their books",
86,Prataap Snacks Ltd.,Category 1,RTE/RTC, , , , , , ,399416,L15311MP2009PLC021746,15311,2009,Yes,Exact Match,,They also manufacture chips and pasta,No
87,Pravin Masalewale,Category 1, ,F&V, , , , ,B&M,47406,L15995PN1982PLC026173,15496,1989,Yes,See comments,Pravin Masalewala is the popular name of the company that runs suhana masala. Name of company is Pravin Foods Ltd.,,
88,Rasna Pvt. Ltd.,Category 3, , , , , , ,B&M,362694,U15499GJ2002PTC040538,15499,2002,Yes,Exact Match,,,
89,Ravi Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,327608,U15412TG1988PTC009309,15412,1988,Yes,Exact Match,,,
90,Regal Kitchen Foods Ltd.,Category 3, , , , , , ,B&M,,U15400DL1995PLC064954,15400,1995,No,Exact Match,,,
91,Royal Dry Fruits Pvt. Ltd.,Category 3, , , , , , ,B&M,,U51101MH2011PTC220314,51101,2011,No,Exact Match,Wholesale traders,,
92,Sahyadri Farmers Producer Company Ltd.,Category 1, ,F&V, , , , , ,511372,U01403MH2010PTC211392,1403,2010,Yes,Exact Match,,Manufacture bioactives and dry fruits that are not icentivised,
93,Sami-Sabinsa Group Ltd.,Category 3, , , , , , ,B&M,339129,U24249KA1991PLC011880,24249,1991,Yes,Exact Match,Fruit and vegetable extracts.,,
94,Sandhya Aqua,Category 1, , ,Marine, , , , ,391246,U15127AP2005PTC047208,15127,2005,Yes,See comments,"The mentioned name is the brand name, the owned company is identified",They run hatcheries and manufacture shrimp feeds that are not incentivised.,
95,Sandhya Marines Ltd.,Category 1, , ,Marine, , , , ,210328,U05004AP1987PLC007578,5004,1987,Yes,Exact Match,,,No
96,Sankalp Recreation Pvt. Ltd.,Category 3, , , , , , ,B&M,,U92219GJ1995PTC028272,92219,1995,No,Exact Match,,,
97,Satvam Nutrifoods Ltd.,Category 3, , , , , , ,B&M,,U15400GJ2014PLC080403,15400,2014,No,Exact Match,,,
98,Shanti Agro Industries,Category 2, , , , , ,Organic, ,,#N/A,#N/A,#N/A,No,See comments,Could not identify.,,
99,Shree Bhagwati Flour & Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,222337,U15319GJ1994PTC021888,15319,1994,Yes,Exact Match,,,
100,Sleepy Owl Coffee Pvt. Ltd.,Category 3, , , , , , ,B&M,,U74999DL2017PTC319841,74999,2017,No,Exact Match,Other business activity,,
101,Sproutlife Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15490KA2015PTC078839,15490,2015,No,Exact Match,,,
102,Sresta Natural Bioproducts Pvt. Ltd.,Category 3, , , , , , ,B&M,476790,U01122TG2004PLC042837,1122,2004,Yes,Exact Match,,,
103,Stayfit Enterprize Pvt. Ltd.,Category 3, , , , , , ,B&M,,U74900PN2014PTC150743,74900,2014,No,Exact Match,Business Activities nec,,
104,Sunfresh Agro Industries Pvt. Ldt,Category 1, , , ,Mozzerrella Cheese, , , ,416884,U01122PN2007PTC129505,1122,2007,Yes,Exact Match,,Incentive is only for Mozarella cheese for which segment data is not available. ,
105,Sunshine Tea House Pvt. Ltd.,Category 3, , , , , , ,B&M,,#N/A,N/A,,No,See comments,Could not identify.,,
106,Suruchi Spices Pvt. Ltd.,Category 1, ,F&V, , , , ,B&M,353460,U15100MH1990PTC058404,15100,1990,Yes,Exact Match,,,No
107,Synthite Industries P Ltd.,Category 1, ,F&V, , , , , ,245605,U24299KL1970PTC002294,24299,1970,Yes,Exact Match,"Seasonings, spics and bio-ingredients.",,Yes
108,Tasty Bite Eatables Ltd.,Category 1, ,F&V, , , , , ,248057,L15419PN1985PLC037347,15419,1985,Yes,Exact Match,,,No
109,Tata Consumer Products Ltd.,Category 1, ,F&V, , , , ,B&M,248186,L15491WB1962PLC031425,15491,1962,Yes,Exact Match,,"Segmentation changes over the years, tea and coffee are big business with no segmentation from 2019 onwards. Many consumer products like Tata Salt are not under PLI",
110,Treta Agro Pvt. Ltd.,Category 2, , , , , ,Organic,B&M,,U51101UR2013PTC000643,51101,2013,No,Exact Match,Wholesale traders,,
111,Vadilal Industries Ltd.,Category 3, , , , , , ,B&M,261277,L91110GJ1982PLC005169,91110,1982,Yes,Exact Match,,,
112,Varun Beverages Ltd.,Category 1, ,F&V, , , , , ,262869,L74899DL1995PLC069839,74899,1995,Yes,Exact Match,Other business activity,They have the franchise for Pepsico. All beverages including aerated drinks and water that are not included under PLI,No
113,Vezlay Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15435DL2010PTC197593,15435,2010,No,Exact Match,,,
114,Vidya Herbs Pvt. Ltd.,Category 1, ,F&V, , , , , ,456205,U24233KA2004PTC033937,24233,2004,Yes,Exact Match,"Phytoextracts, plant based vitamins and minerals etc.",They are manufacturing nutraceuticals with no segmentation,
115,Weikfield Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,271188,U15549MH1998PTC114249,15549,1998,Yes,Exact Match,,,
116,Western India Cashew Company Pvt. Ltd.,Category 2, , , , , ,Organic, ,384448,U01119TZ2000PTC009341,1119,2000,Yes,Exact Match,,,
117,Wow Momo Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15122WB2015PTC205829,15122,2015,No,Exact Match,,,
118,Zea Maize Pvt. Ltd.,Category 3, , , , , , ,B&M,528182,U15494DL2013PTC255802,15494,2013,Yes,Exact Match,,,
119,Zydus Wellness Ltd.,Category 3, , , , , , ,B&M,42684,L15201GJ1994PLC023490,15201,1994,Yes,Exact Match,,,
